Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
24,3/29/2020,Unknown,0,0
25,3/30/2020,Calgary Zone,452,25
25,3/30/2020,Central Zone,42,0
25,3/30/2020,Edmonton Zone,165,4
25,3/30/2020,North Zone,45,1
25,3/30/2020,South Zone,,0
25,3/30/2020,Unknown,0,0
26,3/31/2020,Calgary Zone,536,27
26,3/31/2020,Central Zone,46,0
26,3/31/2020,Edmonton Zone,203,6
26,3/31/2020,North Zone,53,2
26,3/31/2020,South Zone,,0
26,3/31/2020,Unknown,1,0
27,4/1/2020,Calgary Zone,594,27
27,4/1/2020,Central Zone,48,0
27,4/1/2020,Edmonton Zone,249,6
27,4/1/2020,North Zone,53,2
27,4/1/2020,South Zone,13,0
27,4/1/2020,Unknown,1,0
28,4/2/2020,Calgary Zone,677,29
28,4/2/2020,Central Zone,52,0
28,4/2/2020,Edmonton Zone,269,6
28,4/2/2020,North Zone,58,4
28,4/2/2020,South Zone,16,0
28,4/2/2020,Unknown,1,0
29,4/3/2020,Calgary Zone,716,29
29,4/3/2020,Central Zone,53,0
29,4/3/2020,Edmonton Zone,281,6
29,4/3/2020,North Zone,61,4
29,4/3/2020,South Zone,18,0
29,4/3/2020,Unknown,1,0
30,4/4/2020,Calgary Zone,720,29
30,4/4/2020,Central Zone,54,0
30,4/4/2020,Edmonton Zone,294,6
30,4/4/2020,North Zone,72,6
30,4/4/2020,South Zone,19,0
30,4/4/2020,Unknown,1,0
31,4/5/2020,Calgary Zone,748,30
31,4/5/2020,Central Zone,58,0
31,4/5/2020,Edmonton Zone,315,7
31,4/5/2020,North Zone,75,7
31,4/5/2020,South Zone,21,0
31,4/5/2020,Unknown,1,0
32,4/6/2020,Calgary Zone,763,31
32,4/6/2020,Central Zone,58,0
32,4/6/2020,Edmonton Zone,325,8
32,4/6/2020,North Zone,80,8
32,4/6/2020,South Zone,22,0
32,4/6/2020,Unknown,1,0
33,4/7/2020,Calgary Zone,780,31
33,4/7/2020,Central Zone,64,0
33,4/7/2020,Edmonton Zone,336,8
33,4/7/2020,North Zone,87,8
33,4/7/2020,South Zone,23,0
33,4/7/2020,Unknown,1,0
34,4/8/2020,Calgary Zone,805,32
34,4/8/2020,Central Zone,64,0
34,4/8/2020,Edmonton Zone,346,10
34,4/8/2020,North Zone,89,8
34,4/8/2020,South Zone,24,0
34,4/8/2020,Unknown,1,0
35,4/9/2020,Calgary Zone,823,32
35,4/9/2020,Central Zone,64,0
35,4/9/2020,Edmonton Zone,355,11
35,4/9/2020,North Zone,89,8
35,4/9/2020,South Zone,,0
35,4/9/2020,Unknown,1,0
36,4/10/2020,Calgary Zone,856,34
36,4/10/2020,Central Zone,64,0
36,4/10/2020,Edmonton Zone,357,11
36,4/10/2020,North Zone,91,8
36,4/10/2020,South Zone,,0
36,4/10/2020,Unknown,3,0
37,4/11/2020,Calgary Zone,902,34
37,4/11/2020,Central Zone,64,0
37,4/11/2020,Edmonton Zone,365,11
37,4/11/2020,North Zone,96,9
37,4/11/2020,South Zone,27,0
37,4/11/2020,Unknown,3,0
38,4/12/2020,Calgary Zone,940,36
38,4/12/2020,Central Zone,65,0
38,4/12/2020,Edmonton Zone,370,11
38,4/12/2020,North Zone,98,9
38,4/12/2020,South Zone,28,0
38,4/12/2020,Unknown,3,0
39,4/13/2020,Calgary Zone,1002,37
39,4/13/2020,Central Zone,65,0
39,4/13/2020,Edmonton Zone,372,11
39,4/13/2020,North Zone,100,9
39,4/13/2020,South Zone,,0
39,4/13/2020,Unknown,3,0
40,4/14/2020,Calgary Zone,1065,37
40,4/14/2020,Central Zone,65,0
40,4/14/2020,Edmonton Zone,377,11
40,4/14/2020,North Zone,108,11
40,4/14/2020,South Zone,31,0
40,4/14/2020,Unknown,3,0
41,4/15/2020,Calgary Zone,1177,43
41,4/15/2020,Central Zone,65,0
41,4/15/2020,Edmonton Zone,387,11
41,4/15/2020,North Zone,116,11
41,4/15/2020,South Zone,42,0
41,4/15/2020,Unknown,4,0
42,4/16/2020,Calgary Zone,1277,45
42,4/16/2020,Central Zone,65,0
42,4/16/2020,Edmonton Zone,394,11
42,4/16/2020,North Zone,116,11
42,4/16/2020,South Zone,51,0
42,4/16/2020,Unknown,4,0
43,4/17/2020,Calgary Zone,1406,46
43,4/17/2020,Central Zone,66,0
43,4/17/2020,Edmonton Zone,399,11
